Column1,Player,Role,Nation,Team,Images,,
1,MS Dhoni,WK-Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/57.png,,
2,Ruturaj Gaikwad,Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/102.png,,
3,Ambati Rayudu,WK- Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/100.png,,
4,Devon Conway,Batsman,New Zealand,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/601.png,,
5,Subhranshu Senapati,Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/971.png,,
6,Deepak Chahar,Bowler,India,Chennai Super Kings,https://www.iplt20.com/teams/chennai-super-kings/squad-details/140,,
7,Tushar Deshpande,Bowler,India,Chennai Super Kings,https://www.iplt20.com/teams/chennai-super-kings/squad-details/3257,,
8,Maheesh Theekshana,Bowler,Sri Lanka,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/629.png,,
9,Simranjeet Singh,Bowler,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/622.png,,
10,Matheesha Pathirana,Bowler,Sri Lanka,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1014.png,,
11,Akash Singh,Bowler,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1014.png,,
12,Prashant Solanki,Bowler,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/972.png,,
13,Mitchell Santner,Bowler,New Zealand,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/75.png,,
14,Rajvardhan Hangargekar,Bowler,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/783.png,,
15,Ravindra Jadeja,All-rounder,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png,,
16,Moeen Ali,All-rounder,England,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/206.png,,
17,Shivam Dube,All-rounder,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/211.png,,
18,Dwaine Pretorius,All-rounder,South Africa,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/289.png,,
19,Ben Stokes,All-rounder,England,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/177.png,,
20,Ajinkya Rahane,Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/44.png,,
21,Sisanda Magala,Bowler,South Africa,Chennai Super Kings,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU00P2N1Z1sQCcs_pH1Ki5ICqwxtx6A0AUzA&usqp=CAU,,
22,Nishant Sindhu,All-rounder,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/791.png,,
23,Shaik Rasheed,Batsman,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/778.png,,
24,Ajay Mandal,Bowler,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1931.png,,
25,Bhagath Verma,All-rounder,India,Chennai Super Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/577.png,,
26,Abhishek Porel,WT-Batsman,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1580.png,,
27,Prithvi Shaw,Batsman,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/51.png,,
28,David Warner,Batsman,Australia,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,,
29,Sarfaraz Khan,Batsman,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,,
30,Yash Dhull,Batsman,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/777.png,,
31,Rovman Powell,Batsman,West Indies,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/329.png,,
32,Anrich Nortje,Bowler,South Africa,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/5433.png,,
33,Kamlesh Nagarkoti,Bowler,India,Delhi Capitals,https://www.iplt20.com/teams/delhi-capitals/squad-details/3766,,
34,Mustafizur Rahman,Bowler,Bangladesh,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/1594.png,,
35,Lungi Ngidi,Bowler,South Africa,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/3746.png,,
36,Khaleel Ahmed,Bowler,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/8.png,,
37,Chetan Sakariya,Bowler,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/11062.png,,
38,Praveen Dubey,Bowler,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/3188.png,,
39,Kuldeep Yadav,Bowler,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/261.png,,
40,Axar Patel(vc),All-rounder,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/1113.png,,
41,Mitchell Marsh,All-rounder,Australia,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/221.png,,
42,Lalit Yadav,All-rounder,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/6870.png,,
43,Ripal Patel,All-rounder,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/17191.png,,
44,Vicky Ostwal,All-rounder,India,Delhi Capitals,https://assets.iplt20.com/ipl/IPLHeadshot2022/20624.png,,
45,Aman Khan,Allrounder,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/979.png,,
46,Ishant Sharma,Bowler,India,Delhi Capitals,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRStz0R4Tw4NCyLxDyN9r2VG8c-seKgaaSG8Q&usqp=CAU,,
47,Phil Salt,WT-Batsman,England,Delhi Capitals,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCvDOKGg9mtz1cViUn2JOfVfX_lhFCoffu4w&usqp=CAU,,
48,Mukesh Kumar,Bowler,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1462.png,,
49,Manish Pandey,Batsman,India,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/16.png,,
50,Rilee Rossouw,Batsman,South Africa,Delhi Capitals,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1426.png,,
51,Shubman Gill,Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,,
52,Sai Sudarshan,Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,,
53,Abhinav Sadarangani,Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/974.png,,
54,David miller,Batsman,"

South Africa

",Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,,
55,Matthew Wade ,WK-Batsman,Australia,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/549.png,,
56,Wriddhiman Saha ,WK-Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,,
57,Rashid Khan,Bowler,"

Afghanistan

",Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,,
58,Darshan Nalkande,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/127.png,,
59,Yash Dayal,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/978.png,,
60,Pradeep Sangwan,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/977.png,,
61,Alzarrsi Joseph,Bowler,"

West Indies

",Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/229.png,,
62,R Sai Kishore,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/544.png,,
63,Noor Ahmad,Bowler,"

Afghanistan

",Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/975.png,,
64,Mohammed Shami,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/47.png,,
65,Hardik Pandya,All-rounder,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/54.png,,
66,Vijay Shankar,All-rounder,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,,
67,Jayant Yadav,All-rounder,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/165.png,,
68,Rahul Tewatia,All-rounder,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,,
69,Dasun Shanaka,All-rounder,Sri Lanka,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/375.png,,
70,Odean Smith,All-rounder,West Indies,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/863.png,,
71,KS Bharat,WK-Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/365.png,,
72,Shivam Mavi,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/154.png,,
73,Urvil Patel,WK-Batsman,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1486.png,,
74,Joshua Little,Bowler,Ireland,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/678.png,,
75,Mohit Sharma,Bowler,India,Gujarat Titans,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/100.png,,
76,Shreyas Iyer,Batsman,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/12.png,,
77,Nitish Rana,Batsman,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/148.png,,
78,Rinku Singh,Batsman,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/152.png,,
79,Varun Chakravarty,Bowlers,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/140.png,,
80,Tim Southee,Bowlers,New Zealand,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/77.png,,
81,Umesh Yadav,Bowlers,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/21.png,,
82,Andre Russell,All-rounder,West Indies,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/141.png,,
83,Venkatesh Iyer,All-rounder,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/584.png,,
84,Sunil Narine,All-rounder,West Indies,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/156.png,,
85,Anukul Roy,All-rounder,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/160.png,,
86,Shardul Thakur,Bowler,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/105.png,,
87,Lockie Ferguson,Bowler,New Zealand,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/69.png,,
88,Rahmanullah Gurbaz,WK-Batsman,Afghanistan,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/641.png,,
89,Harshit Rana,Bowler,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1013.png,,
90,N. Jagadeesan,WK-Batsman,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/97.png,,
91,Vaibhav Arora,Bowler,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/583.png,,
92,Suyash Sharma,Bowler,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1932.png,,
